"Date","Open","High","Low","Close","Adj Close","Volume"
"2025-11-03","1486","1495","1479.3","1484.7","1484.7","8452085"
"2025-11-04","1483.9","1492.8","1470.1","1473.1","1473.1","10007806"
"2025-11-06","1484","1501.6","1476.2","1496.1","1496.1","16772678"
"2025-11-07","1494.6","1498.4","1475.9","1478","1478","7821765"
"2025-11-10","1477.9","1501","1475.5","1489.3","1489.3","7068438"
"2025-11-11","1497","1498.8","1480.2","1493.4","1493.4","7127506"
"2025-11-12","1505","1524.7","1500","1511.5","1511.5","12384459"
"2025-11-13","1515","1522.1","1506.8","1510.9","1510.9","7196443"
"2025-11-14","1505.5","1520.9","1505.5","1518.9","1518.9","7682823"
"2025-11-17","1520.9","1523.7","1511.5","1518.3","1518.3","5871416"
"2025-11-18","1521.7","1527.8","1510.5","1519.4","1519.4","11045042"
"2025-11-19","1517.4","1522.3","1512","1518.9","1518.9","5692366"
"2025-11-20","1530","1550.9","1526.7","1549.1","1549.1","18171724"
"2025-11-21","1541","1557.8","1540.1","1546.6","1546.6","9615271"
"2025-11-24","1550","1550","1531.8","1535.9","1535.9","18433951"
"2025-11-25","1535.9","1559.6","1525.1","1539.7","1539.7","15033482"
"2025-11-26","1542.3","1571.6","1540.5","1569.9","1569.9","14054299"
"2025-11-27","1575","1575.5","1556","1563.4","1563.4","9794643"
"2025-11-28","1568","1581.3","1563","1567.5","1567.5","8959508"
"2025-12-01","1575","1577.5","1563.6","1566.1","1566.1","8920233"
"2025-12-02","1561.1","1567.5","1542","1546.3","1546.3","11389150"
"2025-12-03","1545.2","1552.4","1533","1538.8","1538.8","6090883"
"2025-12-04","1536","1560.5","1517.6","1535.6","1535.6","11867930"
"2025-12-05","1530.4","1545.8","1520.6","1540.6","1540.6","10183266"
"2025-12-08","1539.2","1551","1535","1543","1543","11301491"
"2025-12-09","1540.3","1542.5","1520.1","1529.4","1529.4","11503971"
"2025-12-10","1534","1547.5","1531.4","1536.9","1536.9","7991629"
"2025-12-11","1536.9","1550","1524","1545","1545","4706197"
"2025-12-12","1550.8","1559.8","1546.1","1556.5","1556.5","5106655"
"2025-12-15","1551.2","1558.6","1546.5","1556.2","1556.2","5774543"
"2025-12-16","1545","1551.7","1538.8","1542.3","1542.3","11731856"
"2025-12-17","1550","1550","1539.3","1544.4","1544.4","7116649"
"2025-12-18","1535.2","1551.5","1535.2","1544.4","1544.4","6580829"
"2025-12-19","1554.4","1574.2","1551","1565.1","1565.1","13937275"
"2025-12-22","1573.5","1577.5","1565.3","1575.4","1575.4","10184852"
"2025-12-23","1580.9","1580.9","1568.1","1570.7","1570.7","7506564"
"2025-12-24","1572.7","1575.7","1553.6","1558.2","1558.2","8815745"
"2025-12-26","1554.7","1561","1554.3","1559.2","1559.2","2311495"
"2025-12-29","1554.9","1558.1","1543.6","1545.6","1545.6","5972105"
"2025-12-30","1547","1553.6","1537.8","1539.8","1539.8","8815884"
"2025-12-31","1541","1577","1541","1570.4","1570.4","5771830"
"2026-01-01","1573.7","1592.5","1571.1","1575.6","1575.6","6408128"
"2026-01-02","1580","1594.6","1578.2","1592.3","1592.3","6602230"
"2026-01-05","1593","1611.8","1575.3","1578.1","1578.1","8704973"
"2026-01-06","1569","1569","1496.3","1507.6","1507.6","27417125"
"2026-01-07","1510","1520","1498","1504.2","1504.2","11199340"
"2026-01-08","1500","1503.9","1468.8","1470.6","1470.6","16518684"
"2026-01-09","1465","1479.9","1465","1475.3","1475.3","8335311"
"2026-01-12","1475.3","1485.3","1451","1483.2","1483.2","8883745"
"2026-01-13","1485","1485.8","1444.7","1452.8","1452.8","13499760"
"2026-01-14","1444","1467","1440.2","1458.8","1458.8","8321764"
"2026-01-16","1458.8","1480","1455.1","1457.9","1457.9","17167161"
"2026-01-19","1450.6","1450.6","1403.3","1413.6","1413.6","20392765"
"2026-01-20","1410.7","1416","1390","1394","1394","13189498"
"2026-01-21","1389.5","1412.9","1373","1404.6","1404.6","17352720"
"2026-01-22","1410.1","1419.5","1395","1402.5","1402.5","15721693"
"2026-01-23","1401.8","1407","1381","1386.1","1386.1","9837802"
"2026-01-27","1380","1391.6","1368","1380.5","1380.5","26302396"
"2026-01-28","1385","1409.9","1384.9","1396.7","1396.7","11121657"
"2026-01-29","1402.9","1402.9","1384","1391","1391","20846683"
"2026-01-30","1382.6","1398","1378.5","1395.4","1395.4","11239835"
"2026-02-02","1340","1392.9","1335.5","1390.4","1390.4","15711165"
"2026-02-03","1473.9","1489.5","1430.2","1437.1","1437.1","25456171"
"2026-02-04","1444","1464","1440.3","1456.8","1456.8","8333387"
"2026-02-05","1457","1461.5","1439.5","1443.4","1443.4","11763658"
"2026-02-06","1441.5","1452.8","1433.5","1450.8","1450.8","8277304"
"2026-02-09","1458","1465.9","1453","1461.6","1461.6","5775864"
"2026-02-10","1471","1471","1452.2","1458.5","1458.5","10259630"
"2026-02-11","1459.6","1470","1453.6","1468.7","1468.7","7106877"
"2026-02-12","1470","1473","1445.5","1448.9","1448.9","11135399"
"2026-02-13","1445.5","1450.7","1416.3","1419.6","1419.6","10755693"
"2026-02-16","1420.1","1439.6","1409.3","1437.1","1437.1","5896514"
"2026-02-17","1431.1","1431.8","1418.6","1423","1423","10731630"
"2026-02-18","1427","1442.1","1419.2","1441.3","1441.3","5521096"
"2026-02-19","1443","1443","1400","1409.5","1409.5","11884664"
"2026-02-20","1409.5","1427.4","1406.1","1419.4","1419.4","8177670"
"2026-02-23","1425","1434.9","1418.3","1428","1428","7758856"
"2026-02-24","1425.3","1433.3","1415","1428.8","1428.8","12529409"
"2026-02-25","1435","1440.5","1393.5","1398.5","1398.5","10728792"
"2026-02-26","1398.5","1412.9","1391.9","1406.8","1406.8","16683858"
"2026-02-27","1398","1410.4","1388.1","1393.9","1393.9","12031440"
"2026-03-02","1375.5","1378.6","1341.5","1358","1358","23728722"
"2026-03-04","1330","1352.8","1307","1345","1345","32495007"
"2026-03-05","1353.1","1399","1353.1","1389.4","1389.4","25957532"
"2026-03-06","1396.5","1424.3","1390.3","1404.8","1404.8","19311971"
"2026-03-09","1375","1429.4","1370","1424","1424","24870822"
"2026-03-10","1430.6","1431.5","1400.6","1408.8","1408.8","18071259"
"2026-03-11","1424.9","1434","1383.6","1390.2","1390.2","21848087"
"2026-03-12","1390","1410.9","1381.1","1392.2","1392.2","20939959"
"2026-03-13","1385.2","1400.8","1378.4","1380.7","1380.7","17265090"
"2026-03-16","1380","1397.3","1363.5","1395.1","1395.1","22837802"
"2026-03-17","1399","1405.9","1388.2","1397.6","1397.6","19007744"
"2026-03-18","1397.2","1412.9","1397.2","1408.1","1408.1","9559327"
"2026-03-19","1388","1415.7","1376.1","1384.8","1384.8","16498373"
"2026-03-20","1398","1430","1396.1","1414.4","1414.4","22994918"
"2026-03-23","1400","1415.6","1391","1407.8","1407.8","18979554"
"2026-03-24","1420","1422.4","1406.6","1411.8","1411.8","18620893"
"2026-03-25","1420","1430.5","1408.4","1413.1","1413.1","19041331"
"2026-03-27","1401","1404.7","1345","1348.1","1348.1","23266517"
"2026-03-30","1335","1365","1334.1","1343.9","1343.9","24393861"
