"Date","Open","High","Low","Close","Adj Close","Volume"
"2025-11-03","3046.9","3058","3010","3016.8","3016.8","2194877"
"2025-11-04","3019.6","3029.3","2976","2990.2","2990.2","2670720"
"2025-11-06","2990.1","3024","2990","3010.9","3010.9","2542721"
"2025-11-07","3001","3004","2960.5","2991.8","2991.8","1830520"
"2025-11-10","2993","3047.9","2992","3025.2","3025.2","1556656"
"2025-11-11","3045","3055.7","3018","3047","3047","2806868"
"2025-11-12","3060","3136.4","3057.1","3131.8","3131.8","4460315"
"2025-11-13","3131.8","3131.9","3102","3105.7","3105.7","1740435"
"2025-11-14","3090","3113.1","3077.3","3106","3106","2210794"
"2025-11-17","3106","3123.5","3086.6","3102.2","3102.2","2232853"
"2025-11-18","3102","3105","3078","3087.1","3087.1","2548350"
"2025-11-19","3097","3155","3083.5","3147.7","3147.7","3151053"
"2025-11-20","3148","3164.5","3138.1","3144.8","3144.8","2700767"
"2025-11-21","3144.8","3170","3135.2","3150.6","3150.6","4177037"
"2025-11-24","3158","3178.9","3131","3141.2","3141.2","6703764"
"2025-11-25","3145.3","3149.8","3115","3119.2","3119.2","2737920"
"2025-11-26","3118.8","3178","3117","3162.9","3162.9","2508527"
"2025-11-27","3180","3180","3125","3136.6","3136.6","2836233"
"2025-11-28","3140","3147.3","3125","3137.5","3137.5","1616690"
"2025-12-01","3137.9","3154","3122.2","3133.4","3133.4","1747647"
"2025-12-02","3131","3144","3120.4","3135.7","3135.7","2512003"
"2025-12-03","3140","3211.9","3139","3180","3180","3952112"
"2025-12-04","3194","3250","3187.4","3229.2","3229.2","5025905"
"2025-12-05","3230","3271.6","3222.4","3238.2","3238.2","5244013"
"2025-12-08","3243","3259.9","3208.6","3236.5","3236.5","2544725"
"2025-12-09","3230","3233.7","3181.2","3208.3","3208.3","2734893"
"2025-12-10","3225","3225","3178.1","3189.2","3189.2","1386849"
"2025-12-11","3205","3208.4","3153.1","3191.9","3191.9","1914362"
"2025-12-12","3197.7","3223","3185.7","3220.5","3220.5","1146554"
"2025-12-15","3211.1","3238.2","3197.3","3230.2","3230.2","1562190"
