"Date","Open","High","Low","Close","Adj Close","Volume"
"2024-09-02","2684","2696.8","2671","2685.8","2685.8","7800000"
"2024-09-03","2689.72","2703.73","2676.81","2691.74","2691.74","8018941"
"2024-09-04","2695.43","2710.53","2682.8","2697.67","2697.67","8185062"
"2024-09-05","2700.97","2716.94","2688.78","2703.42","2703.42","8258473"
"2024-09-06","2706.21","2722.76","2694.58","2708.84","2708.84","8221984"
"2024-09-09","2709.52","2725.73","2698.99","2712.56","2712.56","7980252"
"2024-09-10","2712.44","2727.93","2701.2","2715.56","2715.56","8166161"
"2024-09-11","2714.65","2729.22","2702.76","2717.79","2717.79","8268689"
"2024-09-12","2716.13","2730.85","2703.73","2719.27","2719.27","8263516"
"2024-09-13","2716.92","2732.53","2704.15","2720.02","2720.02","8152693"
"2024-09-16","2716.25","2733.03","2703.45","2719.03","2719.03","8140444"
"2024-09-17","2715.07","2731.56","2702.61","2717.68","2717.68","8270100"
"2024-09-18","2713.69","2729.54","2701.72","2716.1","2716.1","8296411"
"2024-09-19","2712.24","2727.18","2700.9","2714.45","2714.45","8213719"
"2024-09-20","2710.86","2724.69","2700.23","2712.85","2712.85","8043053"
"2024-09-23","2710.89","2725.19","2699.35","2712.21","2712.21","8263063"
"2024-09-24","2710.98","2725.71","2698.86","2712.11","2712.11","8320396"
"2024-09-25","2711.66","2726.55","2699.08","2712.6","2712.6","8267553"
"2024-09-26","2712.95","2727.69","2700.07","2713.73","2713.73","8118258"
"2024-09-27","2714.86","2729.17","2701.86","2715.51","2715.51","7909845"
"2024-09-30","2718.61","2730.34","2706.35","2719.06","2719.06","8335373"
"2024-10-01","2722.6","2734.78","2710.9","2723.06","2723.06","8313503"
"2024-10-02","2726.9","2740.04","2715.86","2727.41","2727.41","8188630"
"2024-10-03","2731.4","2745.35","2721.08","2731.98","2731.98","7992110"
"2024-10-04","2735.96","2750.5","2725.52","2736.66","2736.66","8031956"
"2024-10-07","2739.67","2754.24","2727.33","2740.89","2740.89","8351032"
"2024-10-08","2743.32","2757.35","2730.59","2744.74","2744.74","8253144"
"2024-10-09","2746.5","2759.83","2733.54","2748.14","2748.14","8072516"
"2024-10-10","2749.14","2762.31","2736.15","2751.01","2751.01","7989045"
"2024-10-11","2751.23","2765.58","2738.38","2753.32","2753.32","8197293"
"2024-10-14","2751.24","2767.9","2739.81","2753.93","2753.93","8310895"
"2024-10-15","2751.21","2768","2740.48","2754.06","2754.06","8149838"
"2024-10-16","2750.81","2767.37","2740.8","2753.78","2753.78","7944783"
"2024-10-17","2750.14","2766.16","2739.38","2753.2","2753.2","8163229"
"2024-10-18","2749.31","2764.53","2737.86","2752.43","2752.43","8327999"
"2024-10-21","2748.71","2764.55","2735.86","2751.79","2751.79","8222911"
"2024-10-22","2748.44","2764.89","2735.45","2751.44","2751.44","8019558"
"2024-10-23","2748.58","2765.34","2735.63","2751.46","2751.46","8124776"
"2024-10-24","2749.21","2765.94","2736.49","2751.94","2751.94","8309551"
"2024-10-25","2750.4","2766.73","2738.07","2752.95","2752.95","8410311"
"2024-10-28","2753.76","2767.23","2743.35","2755.69","2755.69","8101108"
"2024-10-29","2757.26","2770.41","2746.92","2758.96","2758.96","8083090"
"2024-10-30","2761.23","2775.11","2750.17","2762.71","2762.71","8284235"
"2024-10-31","2765.59","2780.04","2753.87","2766.86","2766.86","8412264"
"2024-11-01","2770.23","2785.04","2757.95","2771.3","2771.3","8436614"
"2024-11-04","2775.29","2789.42","2762.3","2775.91","2775.91","8039389"
"2024-11-05","2779.8","2793.15","2766.93","2780.32","2780.32","8252942"
"2024-11-06","2783.95","2796.37","2771.38","2784.42","2784.42","8405742"
"2024-11-07","2787.64","2799.12","2775.53","2788.09","2788.09","8461160"
"2024-11-08","2790.78","2803.26","2779.27","2791.25","2791.25","8406413"
"2024-11-11","2791.8","2806.46","2781.14","2792.54","2792.54","8216682"
"2024-11-12","2792.29","2807.17","2780.93","2793.19","2793.19","8391258"
"2024-11-13","2792.15","2806.94","2780.17","2793.22","2793.22","8476700"
"2024-11-14","2791.44","2805.86","2778.96","2792.71","2792.71","8452873"
"2024-11-15","2790.25","2804.09","2777.43","2791.74","2791.74","8326392"
"2024-11-18","2787.93","2802.61","2775.16","2790.08","2790.08","8369489"
"2024-11-19","2786.1","2801.76","2773.72","2788.47","2788.47","8483308"
"2024-11-20","2784.49","2800.85","2772.63","2787.05","2787.05","8490940"
"2024-11-21","2783.22","2799.96","2772","2785.96","2785.96","8391301"
"2024-11-22","2782.43","2799.19","2771.92","2785.32","2785.32","8209568"
"2024-11-25","2783.47","2798.42","2771.83","2786.61","2786.61","8481235"
"2024-11-26","2785.51","2799.84","2773.3","2788.66","2788.66","8520239"
"2024-11-27","2788.35","2803.62","2775.7","2791.47","2791.47","8449499"
"2024-11-28","2791.95","2808.01","2779.04","2795.02","2795.02","8287117"
"2024-11-29","2796.28","2812.86","2783.28","2799.24","2799.24","8089566"
"2024-12-02","2802.43","2818.57","2790.25","2804.93","2804.93","8540566"
"2024-12-03","2808.53","2823.87","2796.93","2810.82","2810.82","8500205"
"2024-12-04","2814.7","2828.99","2803.78","2816.78","2816.78","8360488"
"2024-12-05","2820.77","2833.87","2810.59","2822.63","2822.63","8156408"
"2024-12-06","2826.58","2839.96","2816.02","2828.21","2828.21","8269287"
"2024-12-09","2831.14","2846","2818.72","2832.15","2832.15","8542789"
"2024-12-10","2834.47","2849.31","2821.69","2835.31","2835.31","8428598"
"2024-12-11","2836.95","2851.46","2823.97","2837.64","2837.64","8238069"
"2024-12-12","2838.51","2852.43","2825.54","2839.1","2839.1","8227768"
"2024-12-13","2839.18","2852.27","2826.38","2839.68","2839.68","8428003"
"2024-12-16","2837.49","2850.26","2826.17","2837.97","2837.97","8490467"
"2024-12-17","2835.16","2848.81","2824.55","2835.71","2835.71","8317366"
"2024-12-18","2832.39","2846.73","2822.25","2833.04","2833.04","8184156"
"2024-12-19","2829.34","2844.1","2818.47","2830.13","2830.13","8397055"
"2024-12-20","2826.2","2841.09","2814.64","2827.15","2827.15","8548389"
"2024-12-23","2823.48","2837.11","2810.59","2825.03","2825.03","8393098"
"2024-12-24","2821.75","2834.63","2808.75","2823.53","2823.53","8183492"
"2024-12-25","2820.77","2834.66","2807.85","2822.77","2822.77","8361074"
"2024-12-26","2820.64","2835.64","2807.97","2822.86","2822.86","8534385"
"2024-12-27","2821.45","2837.34","2809.2","2823.87","2823.87","8617993"
"2024-12-30","2824.82","2841.51","2814.53","2827.74","2827.74","8265902"
"2024-12-31","2829.44","2845.71","2818.98","2832.47","2832.47","8321165"
"2025-01-01","2834.85","2850.42","2823.67","2837.96","2837.96","8513048"
"2025-01-02","2840.93","2855.6","2829.11","2844.08","2844.08","8625153"
"2025-01-03","2847.52","2862.15","2835.16","2850.67","2850.67","8630815"
"2025-01-06","2854.66","2871.34","2841.67","2857.59","2857.59","8278510"
"2025-01-07","2861.45","2878.23","2848.61","2864.24","2864.24","8485190"
"2025-01-08","2867.81","2884.34","2855.31","2870.44","2870.44","8623612"
"2025-01-09","2873.58","2889.51","2861.56","2876.01","2876.01","8660669"
"2025-01-10","2878.6","2893.65","2867.2","2880.83","2880.83","8588073"
"2025-01-13","2881.25","2894.84","2870.47","2882.81","2882.81","8451751"
"2025-01-14","2882.42","2896.67","2870.95","2883.77","2883.77","8613784"
"2025-01-15","2882.6","2897.3","2870.53","2883.75","2883.75","8681560"
"2025-01-16","2881.84","2896.72","2869.29","2882.8","2882.8","8639267"
"2025-01-17","2880.23","2895","2867.37","2881.02","2881.02","8498045"
"2025-01-20","2877.17","2889.98","2864.46","2877.66","2877.66","8596251"
"2025-01-21","2873.67","2885.49","2861.36","2874.12","2874.12","8693452"
"2025-01-22","2870.15","2882.23","2858.39","2870.61","2870.61","8682375"
"2025-01-23","2866.82","2879.87","2855.71","2867.32","2867.32","8566514"
"2025-01-24","2863.86","2877.74","2853.48","2864.44","2864.44","8375021"
"2025-01-27","2862.71","2877.58","2850.97","2863.72","2863.72","8696493"
"2025-01-28","2862.75","2877.35","2850.45","2863.94","2863.94","8716916"
"2025-01-29","2863.76","2877.85","2851.06","2865.16","2865.16","8628800"
"2025-01-30","2865.78","2879.19","2852.84","2867.4","2867.4","8454502"
"2025-01-31","2868.79","2881.84","2855.79","2870.63","2870.63","8328920"
"2025-02-03","2873.9","2890.02","2861.81","2876.39","2876.39","8742584"
"2025-02-04","2880.05","2896.67","2868.56","2882.72","2882.72","8684040"
"2025-02-05","2886.62","2903.41","2875.82","2889.45","2889.45","8530490"
"2025-02-06","2893.45","2910.05","2883.39","2896.41","2896.41","8320313"
"2025-02-07","2900.34","2916.43","2889.66","2903.4","2903.4","8505451"
"2025-02-10","2906.24","2921.14","2893.74","2909.37","2909.37","8731514"
"2025-02-11","2911.59","2927.36","2898.76","2914.68","2914.68","8601850"
"2025-02-12","2916.19","2932.59","2903.2","2919.2","2919.2","8402787"
"2025-02-13","2919.94","2936.69","2906.98","2922.83","2922.83","8465753"
"2025-02-14","2922.78","2939.52","2910.02","2925.52","2925.52","8656583"
"2025-02-17","2923.22","2937.95","2912.02","2925.38","2925.38","8667536"
"2025-02-18","2922.48","2936.06","2912","2924.42","2924.42","8483636"
"2025-02-19","2921.03","2934.1","2910.76","2922.75","2922.75","8423234"
"2025-02-20","2919","2932.81","2908.01","2920.5","2920.5","8629105"
"2025-02-21","2916.55","2930.95","2904.88","2917.83","2917.83","8765956"
"2025-02-24","2914.22","2928.9","2901.3","2914.97","2914.97","8561627"
"2025-02-25","2911.76","2925.95","2898.77","2912.39","2912.39","8379129"
"2025-02-26","2909.73","2923.17","2896.83","2910.25","2910.25","8595986"
"2025-02-27","2908.24","2920.76","2895.63","2908.71","2908.71","8756631"
"2025-02-28","2907.42","2918.94","2895.26","2907.87","2907.87","8822518"
"2025-03-03","2908.94","2923.04","2898.78","2909.55","2909.55","8430094"
"2025-03-04","2911.37","2926","2900.78","2912.1","2912.1","8558271"
"2025-03-05","2914.59","2929.46","2903.29","2915.47","2915.47","8739560"
"2025-03-06","2918.53","2933.34","2906.6","2919.59","2919.59","8834971"
"2025-03-07","2923.1","2937.57","2910.66","2924.35","2924.35","8821927"
"2025-03-10","2928.33","2941.75","2915.36","2930.25","2930.25","8517100"
"2025-03-11","2934.07","2948.64","2921.28","2936.2","2936.2","8715468"
"2025-03-12","2939.71","2955.28","2927.28","2942.06","2942.06","8838557"
"2025-03-13","2945.11","2961.42","2933.19","2947.66","2947.66","8857014"
"2025-03-14","2950.14","2966.86","2938.85","2952.86","2952.86","8767104"
"2025-03-17","2953.14","2969.02","2942.24","2956.22","2956.22","8685222"
"2025-03-18","2955.71","2970.75","2944.12","2958.84","2958.84","8833590"
"2025-03-19","2957.54","2971.77","2945.38","2960.69","2960.69","8883243"
"2025-03-20","2958.67","2973.86","2946.06","2961.8","2961.8","8822808"
"2025-03-21","2959.13","2975.12","2946.24","2962.2","2962.2","8667865"
"2025-03-24","2958.32","2974.99","2945.66","2961.01","2961.01","8820553"
"2025-03-25","2957.01","2973.22","2944.79","2959.53","2959.53","8900472"
"2025-03-26","2955.58","2971.01","2943.92","2957.89","2957.89","8870785"
"2025-03-27","2954.15","2968.55","2943.16","2956.25","2956.25","8739545"
"2025-03-28","2952.86","2966.08","2942.6","2954.74","2954.74","8539666"
